eudi_construct,source_ids,source_semantics,cm4di_target,ddd_domain,bounded_context,mapping_type,semantic_note,status
Wallet User,"EUDI-S002;EUDI-S003;EUDI-S006;EUDI-S010","user in control of a wallet unit","IdentitySubject;Holder","Identity Representation;Credential Exchange","Identity Semantics Context;Credential Exchange Context",contextual-role,"Do not introduce a universal WalletUser kind into Core; holder/control semantics depend on interaction.",candidate-reconciled
Wallet Unit,"EUDI-S002;EUDI-S003;EUDI-S006;EUDI-S010","unique configuration of a wallet solution for an individual wallet user, including wallet instance and secure components","Wallet plus implementation configuration","Credential Exchange","Credential Exchange Context",implementation,"More specific than CM4DI Wallet role; likely EUDI mapping/package construct, not new Core concept.",candidate-reconciled
Wallet Solution,"EUDI-S002;EUDI-S003;EUDI-S005;EUDI-S010","combination of software, hardware, services, settings and configurations required to operate wallet capabilities","Application/service composition around Wallet","Credential Exchange","Credential Exchange Context",implementation,"Product/system construct; should not be equated with Wallet role or DigitalIdentity.",candidate-reconciled
Wallet Instance,"EUDI-S003;EUDI-S005;EUDI-S010","software component/instance through which user interacts with wallet unit","Application;RuntimeInstance","Credential Exchange","Credential Exchange Context",implementation,"Operational software instance, not a new identity semantic primitive.",candidate-reconciled
Wallet Provider,"EUDI-S002;EUDI-S003;EUDI-S005;EUDI-S007;EUDI-S010","natural/legal person providing wallet solutions","HolderService/IdentityServiceProvider specialization candidate","Credential Exchange;Government Identity","Credential Exchange Context;Government Identity Context",narrower-profile,"Provider role is EUDI-specific; keep profile/mapping level.",candidate-reconciled
Person Identification Data,"EUDI-S002;EUDI-S006;EUDI-S007;EUDI-S010","legally governed person identification data issued to wallet units","PersonIdentificationData;Credential;Claim","Government Identity;Credential Management","Government Identity Context;Credential Lifecycle Context",close-narrower,"CM4DI PID is profile concept; exact EU mandatory/optional attribute schema remains EUDI mapping data.",candidate-reconciled
Electronic Attestation of Attributes,"EUDI-S002;EUDI-S006;EUDI-S010","attestation carrying attributes with qualified/public-body/non-qualified legal categories","GovernmentAttestation;Credential;Claim","Government Identity;Credential Management","Government Identity Context;Credential Lifecycle Context",broader-target,"Specific legal EAA categories are EUDI mappings/specializations rather than Core Credential classes.",candidate-reconciled
PID Provider,"EUDI-S002;EUDI-S006;EUDI-S007;EUDI-S010","provider responsible for issuing/revoking PID and binding it cryptographically to wallet unit","Issuer;IdentityServiceProvider","Government Identity;Credential Management","Government Identity Context;Credential Lifecycle Context",multi-target-role,"Provider combines credential issuer and governed service-provider responsibilities.",candidate-reconciled
Attestation Provider,"EUDI-S002;EUDI-S006;EUDI-S010","provider issuing EAA classes to wallet units","Issuer;IdentityServiceProvider","Credential Management;Government Identity","Credential Lifecycle Context;Government Identity Context",multi-target-role,"Qualified/public-body/non-qualified distinctions remain jurisdiction/profile-specific.",candidate-reconciled
Wallet Unit Attestation,"EUDI-S003;EUDI-S006;EUDI-S010","attestation enabling relying parties/providers to validate wallet-unit authenticity/status","Evidence;Proof;GovernmentAttestation/Credential mapping","Identity Evidence;Credential Exchange","Identity Assurance Context;Credential Exchange Context",profile-artifact,"Do not conflate Wallet Unit Attestation with PID/EAA or Authenticator.",candidate-reconciled
Wallet-Relying Party,"EUDI-S006;EUDI-S007;EUDI-S010","relying party intending to rely on wallet units for public/private digital services","RelyingParty","Federation;Credential Exchange","Federation Context;Credential Exchange Context",narrower-role,"Clear specialization/context of generic RelyingParty.",candidate-reconciled
Relying Party Service,"EUDI-S010","ARF v3 concept separating relying-party organization from a service/use surface","Application/Resource/service mapping","Credential Exchange;Identity Administration","Credential Exchange Context;Identity Administration Context",implementation-profile,"Potentially valuable mapping but not new Core concept; needs ARF section 3.11.2 extraction.",pending-source-detail
National Register of Wallet-Relying Parties,"EUDI-S007","public national electronic register of registered wallet-relying parties","TrustRegistry","Trust Governance","Trust Governance Context",narrower-registry,"Government/EUDI specialization of governed TrustRegistry.",candidate-reconciled
Registrar of Wallet-Relying Parties,"EUDI-S007","designated body establishing/maintaining national RP register and processing registrations","Registrar","Trust Governance","Trust Governance Context",narrower-role,"Direct specialization/mapping of existing Registrar role.",candidate-reconciled
Wallet-Relying Party Access Certificate,"EUDI-S006;EUDI-S007","certificate authenticating and validating registered wallet-relying party","Credential;Evidence;Proof","Credential Management;Identity Evidence","Credential Lifecycle Context;Identity Assurance Context",profile-credential,"Certificate is a credential/evidence artifact, not RelyingParty identity itself.",candidate-reconciled
Wallet-Relying Party Registration Certificate,"EUDI-S006;EUDI-S007","data object describing intended use and attributes RP is registered to request","Credential;AccessPolicy;PresentationRequest related","Trust Governance;Authorization;Credential Exchange","Trust Governance Context;Authorization Context;Credential Exchange Context",composite-mapping,"Contains governance/policy/request metadata; no single exact CM4DI equivalent is justified.",candidate-reconciled
Intended Use,"EUDI-S007;EUDI-S010","registered purpose/use associated with requested data/attributes","AccessPolicy/AccessCondition;PresentationRequest context","Authorization;Credential Exchange","Authorization Context;Credential Exchange Context",related,"Should not create a generic Purpose ontology in CM4DI Core; bridge to policy/privacy vocabularies may be preferable.",candidate-reconciled
General Access Policy,"EUDI-S007","harmonized policy informing/limiting requested data to registered intended use","AccessPolicy;AccessCondition","Authorization","Authorization Context",narrower-policy,"ODRL/DPV neighbor alignment may carry richer policy/purpose semantics.",candidate-reconciled
Registration,"EUDI-S007","governed process by which wallet-relying party is registered after verification","EcosystemParticipation;ParticipantStatus;Certification-related event","Trust Governance","Trust Governance Context",profile-process,"Distinct from Identity Enrollment and Provisioning.",candidate-reconciled
Suspension or Cancellation of RP Registration,"EUDI-S007","governance lifecycle actions changing validity of wallet-relying party registration","ParticipantStatus;EcosystemParticipation lifecycle","Trust Governance","Trust Governance Context",profile-lifecycle,"Reinforces governed participation status history.",candidate-reconciled
