mapping_id,profile,subject,primary_domain_id,primary_domain,primary_bounded_context,ddd_impact_status
CM4DI-MAP0001,P01,Account,CM4DI-D0008,Identity Administration,CM4DI-BC0006,REVALIDATED
CM4DI-MAP0002,P01,PermissionBundle,CM4DI-D0007,Authorization,CM4DI-BC0005,REVALIDATED
CM4DI-MAP0003,P01,AccessGrant,CM4DI-D0007,Authorization,CM4DI-BC0005,REVALIDATED
CM4DI-MAP0004,P01,Session,CM4DI-D0006,Authentication,CM4DI-BC0004,REVALIDATED
CM4DI-MAP0005,P01,ApplicationRegistration,CM4DI-D0008,Identity Administration,CM4DI-BC0006,REVALIDATED
CM4DI-MAP0006,P01,AccessPolicy,CM4DI-D0007,Authorization,CM4DI-BC0005,REVALIDATED
CM4DI-MAP0007,P01,AccessCondition,CM4DI-D0007,Authorization,CM4DI-BC0005,REVALIDATED
CM4DI-MAP0008,P01,PermissionBundle,CM4DI-D0007,Authorization,CM4DI-BC0005,REVALIDATED
CM4DI-MAP0009,P01,AccessGrant,CM4DI-D0007,Authorization,CM4DI-BC0005,REVALIDATED
CM4DI-MAP0010,P01,IdentitySource,CM4DI-D0008,Identity Administration,CM4DI-BC0006,REVALIDATED
CM4DI-MAP0011,P01,IdentityBroker,CM4DI-D0009,Federation,CM4DI-BC0007,REVALIDATED
CM4DI-MAP0012,P01,Provisioning,CM4DI-D0008,Identity Administration,CM4DI-BC0006,REVALIDATED
CM4DI-MAP0013,P01,Federation,CM4DI-D0009,Federation,CM4DI-BC0007,REVALIDATED
CM4DI-MAP0014,P01,Federation,CM4DI-D0009,Federation,CM4DI-BC0007,REVALIDATED
CM4DI-MAP0015,P01,FederationConnection,CM4DI-D0009,Federation,CM4DI-BC0007,REVALIDATED
CM4DI-MAP0016,P01,AdministrativeDomain,CM4DI-D0008,Identity Administration,CM4DI-BC0006,REVALIDATED
CM4DI-MAP0017,P01,AdministrativeDomain,CM4DI-D0008,Identity Administration,CM4DI-BC0006,REVALIDATED
CM4DI-MAP0018,P01,SocialLogin,CM4DI-D0009,Federation,CM4DI-BC0007,REVALIDATED
CM4DI-MAP0019,P02,Credential,CM4DI-D0005,Credential Management,CM4DI-BC0003,REVALIDATED
CM4DI-MAP0020,P02,VerifiablePresentation,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,REVALIDATED
CM4DI-MAP0021,P02,Issuer,CM4DI-D0005,Credential Management,CM4DI-BC0003,REVALIDATED
CM4DI-MAP0022,P02,Holder,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,REVALIDATED
CM4DI-MAP0023,P02,CredentialPresentationVerifier,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,REVALIDATED
CM4DI-MAP0024,P02,Identifier,CM4DI-D0001,Identity Representation,CM4DI-BC0001,REVALIDATED
CM4DI-MAP0025,P02,Controller,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,REVALIDATED
CM4DI-MAP0026,P02,VerificationMethod,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,REVALIDATED
CM4DI-MAP0027,P02,CredentialIssuance,CM4DI-D0005,Credential Management,CM4DI-BC0003,REVALIDATED
CM4DI-MAP0028,P02,Wallet,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,REVALIDATED
CM4DI-MAP0029,P02,CredentialPresentation,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,REVALIDATED
CM4DI-MAP0030,P02,PresentationRequest,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,REVALIDATED
CM4DI-MAP0031,P02,Credential,CM4DI-D0005,Credential Management,CM4DI-BC0003,REVALIDATED
CM4DI-MAP0032,P02,SelectiveDisclosure,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,REVALIDATED
CM4DI-MAP0033,P02,GovernmentAttestation,CM4DI-D0015,Government Identity,CM4DI-BC0013,REVALIDATED
CM4DI-MAP0034,P03,Identifier,CM4DI-D0001,Identity Representation,CM4DI-BC0001,REVALIDATED
CM4DI-MAP0035,P03,SVID,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0036,P03,TrustDomain,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0037,P03,TrustBundle,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0038,P03,WorkloadAttestation,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0039,P03,NodeAttestation,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0040,P03,ServiceAccount,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0041,P03,TemporaryCredential,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0042,P03,ServicePrincipal,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0043,P03,ManagedIdentity,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0044,P03,DeviceIdentityRecord,CM4DI-D0012,Device Identity,CM4DI-BC0010,REVALIDATED
CM4DI-MAP0045,P03,TokenExchange,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0046,P03,ServiceAccount,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0047,P03,Workload,CM4DI-D0011,Workload Identity,CM4DI-BC0009,REVALIDATED
CM4DI-MAP0048,P03,AgentIdentity,CM4DI-D0013,Agent Identity,CM4DI-BC0011,REVALIDATED
CM4DI-MAP0049,P03,AgentSponsor,CM4DI-D0013,Agent Identity,CM4DI-BC0011,REVALIDATED
CM4DI-MAP0050,P03,AgentIdentity,CM4DI-D0013,Agent Identity,CM4DI-BC0011,REVALIDATED
CM4DI-MAP0051,P03,Delegation,CM4DI-D0007,Authorization,CM4DI-BC0005,REVALIDATED
CM4DI-MAP0052,P04,AssuranceAssessment,CM4DI-D0003,Identity Evidence,CM4DI-BC0002,REVALIDATED
CM4DI-MAP0053,P04,AssuranceAssessment,CM4DI-D0003,Identity Evidence,CM4DI-BC0002,REVALIDATED
CM4DI-MAP0054,P04,AssuranceAssessment,CM4DI-D0003,Identity Evidence,CM4DI-BC0002,REVALIDATED
CM4DI-MAP0055,P04,TrustFramework,CM4DI-D0014,Trust Governance,CM4DI-BC0012,REVALIDATED
CM4DI-MAP0056,P04,PersonIdentificationData,CM4DI-D0015,Government Identity,CM4DI-BC0013,REVALIDATED
CM4DI-MAP0057,P04,GovernmentAttestation,CM4DI-D0015,Government Identity,CM4DI-BC0013,REVALIDATED
