source_record_id,family,title,owner_or_publisher,canonical_url,authority_class,materiality,primary_domains,coverage_status,issue,last_verified,notes
SM-IAM-001,Cloud-IAM,AWS IAM Identity Management,Amazon Web Services,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction_identity-management.html,official-product-doc,material,"Authorization;Workload Identity;Federation",seeded-needs-exhaustive,#72,2026-08-29,"Identity/principal/policy role semantics; vendor terminology requires neutral mapping."
SM-IAM-002,Cloud-IAM,AWS IAM Identity Center Permission Sets,Amazon Web Services,https://docs.aws.amazon.com/singlesignon/latest/userguide/permissionsetsconcept.html,official-product-doc,material,"Authorization;Identity Administration",seeded-needs-exhaustive,#72,2026-08-29,"PermissionSet/AccountAssignment evidence for PermissionBundle/AccessGrant."
SM-IAM-003,CIAM,Amazon Cognito,Amazon Web Services,https://docs.aws.amazon.com/cognito/latest/developerguide/what-is-amazon-cognito.html,official-product-doc,supporting,"Identity Administration;Authentication;Federation",seeded-needs-exhaustive,#72,2026-08-29,"User Pool and Identity Pool are operational constructs."
SM-IAM-004,Cloud-IAM,Microsoft Entra ID,Microsoft,https://learn.microsoft.com/en-us/entra/fundamentals/what-is-entra,official-product-doc,material,"Identity Administration;Federation;Authorization;Workload Identity",seeded-needs-exhaustive,#72,2026-08-29,"Directory/tenant identity platform anchor."
SM-IAM-005,Cloud-IAM,Microsoft Entra Application and Service Principal objects,Microsoft,https://learn.microsoft.com/en-us/entra/identity-platform/app-objects-and-service-principals,official-product-doc,material,"Identity Administration;Workload Identity;Authorization",seeded-needs-exhaustive,#72,2026-08-29,"Critical anti-conflation source: Application object differs from tenant-local ServicePrincipal."
SM-IAM-006,Workload-Identity,Microsoft Managed Identities,Microsoft,https://learn.microsoft.com/en-us/entra/identity/managed-identities-azure-resources/overview-for-developers,official-product-doc,material,"Workload Identity;Authorization",seeded-needs-exhaustive,#72,2026-08-29,"System-assigned vs user-assigned lifecycle patterns."
SM-IAM-007,External-Identity,Microsoft Entra External ID,Microsoft,https://learn.microsoft.com/en-us/entra/external-id/external-identities-overview,official-product-doc,supporting,"Identity Administration;Federation;Authentication",seeded-needs-exhaustive,#72,2026-08-29,"External identity/CIAM evidence; not Social Identity."
SM-IAM-008,Cloud-IAM,Google Cloud IAM,Google Cloud,https://cloud.google.com/iam/docs/overview,official-product-doc,material,"Authorization;Workload Identity",seeded-needs-exhaustive,#72,2026-08-29,"Role/permission/policy/principal mapping evidence."
SM-IAM-009,Federation,Google Workforce Identity Federation,Google Cloud,https://docs.cloud.google.com/iam/docs/workforce-identity-federation,official-product-doc,material,"Federation;Authorization;Identity Administration",seeded-needs-exhaustive,#72,2026-08-29,"Sync-less workforce federation; strong Federation != Provisioning evidence."
SM-IAM-010,Workload-Identity,Google Workload Identity Federation,Google Cloud,https://docs.cloud.google.com/iam/docs/workload-identity-federation,official-product-doc,material,"Workload Identity;Federation;Authorization",seeded-needs-exhaustive,#72,2026-08-29,"External workload federation and short-lived credential exchange."
SM-IAM-011,Directory,Okta Universal Directory,Okta,https://developer.okta.com/docs/concepts/universal-directory/,official-product-doc,material,"Identity Administration;Identity Information",seeded-needs-exhaustive,#72,2026-08-29,"IdentityStore/UserProfile/AttributeMapping evidence."
SM-IAM-012,Federation,Okta External Identity Providers,Okta,https://developer.okta.com/docs/concepts/identity-providers/,official-product-doc,material,"Federation;Identity Administration;Authentication",seeded-needs-exhaustive,#72,2026-08-29,"IdP routing/profile sync/account-linking evidence."
SM-IAM-013,CIAM,Auth0 Identity Providers,Okta/Auth0,https://auth0.com/docs/authenticate/identity-providers,official-product-doc,supporting,"Federation;Identity Administration;Authentication",seeded-needs-exhaustive,#72,2026-08-29,"Connection as source/federation configuration."
