relation_id,label,ontouml_stereotype,source,target,source_cardinality,target_cardinality,cq_ids,status
CM4DI-R0001,represents,formal,DigitalIdentity,IdentitySubject,"0..*","1",CQ0001,gate-c-candidate
CM4DI-R0002,interpretedIn,formal,DigitalIdentity,IdentityContext,"0..*","1",CQ0001,gate-c-candidate
CM4DI-R0003,hasIdentifier,formal,DigitalIdentity,Identifier,"0..1","0..*",CQ0004,gate-c-candidate
CM4DI-R0004,identifiesSubject,formal,Identifier,IdentitySubject,"0..*","0..1",CQ0004,gate-c-candidate
CM4DI-R0005,scopedBy,formal,Identifier,IdentityContext,"0..*","0..1",CQ0004,gate-c-candidate
CM4DI-R0006,about,formal,Claim,IdentitySubject,"0..*","1",CQ0005,gate-c-candidate
CM4DI-R0007,asserts,formal,Claim,IdentityAttribute,"0..*","0..*",CQ0005,gate-c-candidate
CM4DI-R0008,assertedBy,historicalDependence,Claim,Party,"0..*","0..1",CQ0005,gate-c-candidate
CM4DI-R0009,supportsClaim,formal,Evidence,Claim,"0..*","0..*",CQ0006,gate-c-candidate
CM4DI-R0010,providedBy,historicalDependence,Evidence,Party,"0..*","0..1",CQ0006,gate-c-candidate
CM4DI-R0011,derivedFrom,historicalDependence,Evidence,Evidence,"0..*","0..*",CQ0006,gate-c-candidate
CM4DI-R0012,playsProofRoleIn,participation,Proof,IdentityProofing,"0..*","0..*",CQ0007,gate-c-candidate
CM4DI-R0013,mediatesSubject,mediation,IdentityBinding,IdentitySubject,"0..*","1",CQ0012,gate-c-candidate
CM4DI-R0014,bindsDigitalIdentity,mediation,IdentityBinding,DigitalIdentity,"0..*","0..1",CQ0012,gate-c-candidate
CM4DI-R0015,bindsCredential,mediation,IdentityBinding,Credential,"0..*","0..*",CQ0012,gate-c-candidate
CM4DI-R0016,bindsAuthenticator,mediation,IdentityBinding,Authenticator,"0..*","0..*",CQ0012,gate-c-candidate
CM4DI-R0017,groundedBy,formal,IdentityBinding,Evidence,"0..*","1..*",CQ0012,gate-c-candidate
CM4DI-R0018,credentialAbout,formal,Credential,IdentitySubject,"0..*","1..*",CQ0008,gate-c-candidate
CM4DI-R0019,carriesClaim,formal,Credential,Claim,"0..*","1..*",CQ0008,gate-c-candidate
CM4DI-R0020,credentialIssuedBy,historicalDependence,Credential,Party,"0..*","1",CQ0008,gate-c-candidate
CM4DI-R0021,hasCredentialStatus,characterization,Credential,CredentialStatus,"1","0..1",CQ0008,gate-c-candidate
CM4DI-R0022,affectsCredential,participation,CredentialLifecycleEvent,Credential,"0..*","1",CQ0009,gate-c-candidate
CM4DI-R0023,producesCredential,historicalDependence,CredentialIssuance,Credential,"0..*","1..*",CQ0009,gate-c-candidate
