extract_id,nist_construct,part,source_anchor,source_url,locator_scope,locator_confidence,notes
NIST63-X-013,AuthenticatorBinding,63B,"§4 Authenticator Event Management → §4.1 Authenticator Binding; includes Binding at Enrollment and Post-Enrollment Binding",https://pages.nist.gov/800-63-4/sp800-63b.html,section,high,"Normative association between a specific authenticator and subscriber account; maintains binding records and permits post-enrollment binding."
NIST63-X-014,AuthenticatorLifecycle,63B,"§4 Authenticator Event Management; §4.1 Authenticator Binding; §4.2 Account Recovery; §4.3 Loss/Theft/Damage/Compromise",https://pages.nist.gov/800-63-4/sp800-63b.html,section-set,high,"Normative lifecycle/event family; recovery and binding are distinct processes."
NIST63-X-017,SyncableAuthenticator,63B,"Appendix B Syncable Authenticators → B.2 Cloning Authentication Keys",https://pages.nist.gov/800-63-4/sp800-63b.html,appendix-section,high,"Normative sync/key-copy requirements; supports profile/formal constraint treatment rather than Core subject category."
NIST63-X-022,Assertion,63C,"Federation transaction requirements → Assertion Contents / Assertion Validation; subscriber-controlled-wallet § Assertion Contents",https://pages.nist.gov/800-63-4/sp800-63c.html,section-heading,high,"Assertion is RP-consumed signed federation artifact with audience/time/replay/signature semantics; distinct from AuthenticationResult and Session."
NIST63-X-023,FederationAssuranceLevel,63C,"§2 Federation Assurance Level; Table 1 Federation assurance levels",https://pages.nist.gov/800-63-4/sp800-63c/fal/,section-table,high,"FAL1/FAL2/FAL3 requirements are explicitly distinct from IAL/AAL."
NIST63-X-024,FederatedSession,63C,"Authenticated Sessions at the RP",https://pages.nist.gov/800-63-4/sp800-63c.html,section-heading,high,"RP creates authenticated session only after processing a valid assertion; session remains distinct from assertion."
NIST63-X-025,AssertionLifetime,63C,"Assertion Contents → issuance time and validity time window requirements",https://pages.nist.gov/800-63-4/sp800-63c.html,section-heading,high,"Assertion temporal validity is a formalization/constraint signal, not a new Core artifact category."
NIST63-X-026,HolderOfKeyAssertion,63C,"FAL3 requirements; §3.15 Holder-of-Key Assertions; subscriber-controlled-wallet FAL3 subsection",https://pages.nist.gov/800-63-4/sp800-63c/fal/,section-set,high,"FAL3 requires holder-of-key assertion or bound authenticator in addition to assertion validation."
NIST63-X-027,FederationRuntimeDecision,63C,"Subscriber-Controlled Wallets → Authentication and Attribute Disclosure; Trust Agreements/runtime decision",https://pages.nist.gov/800-63-4/sp800-63c/Wallets/,section-heading,high,"Attribute release decision is governed at runtime and must not be collapsed into general resource Authorization."
NIST63-WALLET-001,AttributeBundle,63C,"Subscriber-Controlled Wallets → Issuing Attribute Bundles to the Subscriber-Controlled Wallet; Assertion Contents",https://pages.nist.gov/800-63-4/sp800-63c/Wallets/,section-heading,high,"CSP-issued signed artifact containing subscriber attributes and wallet verification-key material; candidate maps to Credential + Claim/Evidence roles."
NIST63-WALLET-002,SubscriberControlledWalletAssertion,63C,"Subscriber-Controlled Wallets → Assertion Contents / Assertion Validation",https://pages.nist.gov/800-63-4/sp800-63c/Wallets/,section-heading,high,"Wallet-issued RP-specific signed artifact; bounded profile-level artifact identity/mapping decision remains for #66."
