extract_id,google_construct,kind,source_semantics,important_relations_or_lifecycle,cm4di_disposition,cm4di_target,ddd_domain,semantic_risk,status
GCP-X-001,Principal,authorization-role/reference,"Authenticated identity or set of identities receiving access","bound to role on resource; human/workload types",mapping,CM4DI-C0025 Principal,Authorization,"Principal is contextual and includes multiple implementation identity kinds",accepted
GCP-X-002,PrincipalSet,authorization-subject-set,"Set of principals selected by group or mapped attribute","role binding grants same role to selected set",candidate-mapping-pattern,"AccessGroup/attribute-selected principal set",Authorization,"Not necessarily a persistent social/access group object",investigate
GCP-X-003,Permission,authorization-unit,"Operation allowed on Google Cloud resource, often corresponds to API method","included in role; checked during resource access",mapping,CM4DI-C0028 Permission,Authorization,"Permission string is implementation-level action-resource capability",accepted
GCP-X-004,Role,permission-bundle,"Named collection of permissions","granted to principal on resource by policy binding",mapping,CM4DI-C1016 PermissionBundle,Authorization,"Not UFO Role",accepted
GCP-X-005,RoleBinding,access-grant-entry,"Associates one role with one or more principals in allow policy attached to resource","principal granted role over resource; may have condition; inherited through hierarchy",mapping-composite,"CM4DI-C0029 AccessGrant; C0026 Resource",Authorization,"Binding is not Permission and effective access includes inheritance/deny/PAB",accepted
GCP-X-006,AllowPolicy,policy-artifact,"Policy attached to resource containing role bindings","governs access; inherited by descendants",mapping,CM4DI-C1017 AccessPolicy,Authorization,"Policy attachment/hierarchy is implementation semantics",accepted
GCP-X-007,DenyPolicy,policy-constraint,"Policy prevents principals using specified permissions despite grants","interacts with effective access computation",mapping,CM4DI-C1017 AccessPolicy,Authorization,"Deny is not negative Permission instance alone",accepted
GCP-X-008,PrincipalAccessBoundary,eligibility-constraint,"Defines resources principal is eligible to access even if role granted","constrains effective resource universe",candidate-constraint,CM4DI-C1018 AccessCondition / policy constraint,Authorization,"Boundary policy is not AdministrativeDomain or Resource itself",investigate
GCP-X-009,IAMCondition,conditional-policy-expression,"Attribute-based condition on bindings/policies","evaluated over resource/request/time attributes; role applies only when true",mapping,CM4DI-C1018 AccessCondition,Authorization,"Condition expression belongs policy layer not IdentityContext",accepted
GCP-X-010,ResourceHierarchy,resource-containment,"Organization/folder/project/resource hierarchy drives policy inheritance","child inherits ancestor policies; scope affects grant",candidate-relation-pattern,"Resource containment/scope relation",Authorization,"Do not turn cloud resource hierarchy into identity domain taxonomy",investigate
GCP-X-011,ServiceAccount,nonhuman-account-resource-principal,"Represents non-human user/workload; is both a Google Cloud resource and IAM principal","belongs to project; gets roles; can be impersonated; credentials/tokens used by workloads",mapping-composite,"CM4DI-C3003 ServiceAccount; C0025 Principal; C0026 Resource context",Workload Identity,"ServiceAccount is not Workload itself and dual principal/resource roles are contextual",accepted
GCP-X-012,WorkforceIdentityPool,federation-administrative-pool,"Logical pool for external workforce identities","contains providers; external subjects become Google principals; belongs to organization",mapping-composite,"CM4DI-C1006 AdministrativeDomain / Federation profile configuration",Federation,"Pool is not IdentityContext and not a group of people",investigate
GCP-X-013,WorkforceProvider,federation-connection-config,"OIDC/SAML provider configuration maps external credential attributes to Google attributes","belongs to pool; can be enabled/disabled; exchanges credentials/tokens",mapping,CM4DI-C1010 FederationConnection,Federation,"Provider config is not external IdP entity itself",accepted
GCP-X-014,AttributeMapping,mapping-artifact,"Maps external assertion claims to google.subject, groups and custom attributes","determines principal identifiers and sets; used by policy bindings",mapping,CM4DI-C1014 AttributeMapping,Identity Administration,"Mapping does not prove claim truth; source provenance remains external",accepted
GCP-X-015,google.subject,scoped-identifier,"Normalized subject value derived from upstream assertion and used in principal identifier/audit","must be uniquely mappable to external identity per best practices",mapping,CM4DI-C0004 Identifier,Identity Representation,"Mapped subject is identifier/reference, not external entity equality",accepted
GCP-X-016,WorkloadIdentityPool,federation-administrative-pool,"Pool for external workload identities independent of workforce pool","contains providers; maps external credentials to workload principals",mapping-composite,"AdministrativeDomain/FederationConnection configuration",Workload Identity,"Workload pool != workforce pool and != workload itself",accepted
GCP-X-017,FederatedWorkloadPrincipal,principal-role,"External workload identity after token exchange/mapping can receive direct resource grants","identified by principal/principalSet URI; accesses resource directly or impersonates service account",mapping,CM4DI-C0025 Principal,Workload Identity,"Federated principal representation is not workload entity itself",accepted
GCP-X-018,SecurityTokenServiceExchange,event,"Exchanges trusted external credential for federated Google token","external credential -> STS token; may precede direct access or service account impersonation",mapping,CM4DI-C3014 TokenExchange,Workload Identity,"Token exchange is not Authentication/IdentityProofing by itself",accepted
GCP-X-019,ServiceAccountImpersonation,delegated-operation,"Federated principal is granted permission to impersonate service account and obtain short-lived access token","principal granted workloadIdentityUser/tokenCreator-like authority; calls credentials service",candidate-event-relation,"CM4DI-C0030 Delegation; C3013 TemporaryCredential; C3003 ServiceAccount",Workload Identity,"Impersonation does not mean identity equality",accepted
GCP-X-020,ShortLivedAccessToken,temporary-credential,"Short-lived token obtained after federation/impersonation","issued after STS/credentials operation; expires; audit links delegation chain",mapping,CM4DI-C3013 TemporaryCredential,Credential Management,"Used across workload contexts; module ownership deserves review",accepted
GCP-X-021,WorkforceProviderState,status-mode,"Provider has state/disabled/expire semantics; disabled provider cannot exchange new tokens while existing tokens remain valid","enable/disable/expire affects future exchange not already-issued token validity",candidate-lifecycle,"FederationConnection status/lifecycle",Federation,"Provider-state transition differs from session/token status",investigate
GCP-X-022,PrivilegedAccessManager,just-in-time-access-process,"Principals request temporary auditable access with optional justification/approval","request/approve/activate/expire privileged grant",candidate-adjacent-pattern,"AccessGrant lifecycle + approval event",Authorization,"Potential PAM/IGA adjacency; not Core concept from one product",investigate
