cq_id,primary_domain_id,primary_domain,primary_bounded_context,related_domains,ddd_impact_status
CM4DI-CQ0001,CM4DI-D0001,Identity Representation,CM4DI-BC0001,,REVALIDATED
CM4DI-CQ0002,CM4DI-D0001,Identity Representation,CM4DI-BC0001,,REVALIDATED
CM4DI-CQ0003,CM4DI-D0001,Identity Representation,CM4DI-BC0001,"CM4DI-D0011;CM4DI-D0012;CM4DI-D0013",REVALIDATED
CM4DI-CQ0004,CM4DI-D0001,Identity Representation,CM4DI-BC0001,,REVALIDATED
CM4DI-CQ0005,CM4DI-D0002,Identity Information,CM4DI-BC0001,,REVALIDATED
CM4DI-CQ0006,CM4DI-D0003,Identity Evidence,CM4DI-BC0002,"CM4DI-D0002;CM4DI-D0004",REVALIDATED
CM4DI-CQ0007,CM4DI-D0003,Identity Evidence,CM4DI-BC0002,,REVALIDATED
CM4DI-CQ0008,CM4DI-D0005,Credential Management,CM4DI-BC0003,"CM4DI-D0002",REVALIDATED
CM4DI-CQ0009,CM4DI-D0005,Credential Management,CM4DI-BC0003,,REVALIDATED
CM4DI-CQ0010,CM4DI-D0004,Identity Establishment,CM4DI-BC0002,"CM4DI-D0003",REVALIDATED
CM4DI-CQ0011,CM4DI-D0004,Identity Establishment,CM4DI-BC0002,"CM4DI-D0001",REVALIDATED
CM4DI-CQ0012,CM4DI-D0003,Identity Evidence,CM4DI-BC0002,"CM4DI-D0001;CM4DI-D0005;CM4DI-D0006",REVALIDATED
CM4DI-CQ0013,CM4DI-D0006,Authentication,CM4DI-BC0004,"CM4DI-D0001",REVALIDATED
CM4DI-CQ0014,CM4DI-D0006,Authentication,CM4DI-BC0004,,REVALIDATED
CM4DI-CQ0015,CM4DI-D0003,Identity Evidence,CM4DI-BC0002,"CM4DI-D0004;CM4DI-D0006;CM4DI-D0014",REVALIDATED
CM4DI-CQ0016,CM4DI-D0007,Authorization,CM4DI-BC0005,,REVALIDATED
CM4DI-CQ0017,CM4DI-D0007,Authorization,CM4DI-BC0005,"CM4DI-D0001",REVALIDATED
CM4DI-CQ0018,CM4DI-D0007,Authorization,CM4DI-BC0005,,REVALIDATED
CM4DI-CQ0019,CM4DI-D0007,Authorization,CM4DI-BC0005,,REVALIDATED
CM4DI-CQ0020,CM4DI-D0007,Authorization,CM4DI-BC0005,,REVALIDATED
CM4DI-CQ0021,CM4DI-D0007,Authorization,CM4DI-BC0005,"CM4DI-D0013",REVALIDATED
CM4DI-CQ0022,CM4DI-D0014,Trust Governance,CM4DI-BC0012,"CM4DI-D0003",REVALIDATED
CM4DI-CQ0023,CM4DI-D0014,Trust Governance,CM4DI-BC0012,,REVALIDATED
CM4DI-CQ0024,CM4DI-D0008,Identity Administration,CM4DI-BC0006,"CM4DI-D0001",REVALIDATED
CM4DI-CQ0025,CM4DI-D0006,Authentication,CM4DI-BC0004,,REVALIDATED
CM4DI-CQ0026,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,"CM4DI-D0005",REVALIDATED
CM4DI-CQ0027,CM4DI-D0011,Workload Identity,CM4DI-BC0009,"CM4DI-D0008;CM4DI-D0007",REVALIDATED
CM4DI-CQ0028,CM4DI-D0012,Device Identity,CM4DI-BC0010,"CM4DI-D0006;CM4DI-D0007",REVALIDATED
CM4DI-CQ0029,CM4DI-D0013,Agent Identity,CM4DI-BC0011,"CM4DI-D0007;CM4DI-D0014",REVALIDATED
CM4DI-CQ0030,CM4DI-D0015,Government Identity,CM4DI-BC0013,"CM4DI-D0014;CM4DI-D0001",REVALIDATED
CM4DI-CQ0031,CM4DI-D0009,Federation,CM4DI-BC0007,"CM4DI-D0006",REVALIDATED
CM4DI-CQ0032,CM4DI-D0000,Digital Identity Management,CROSS_CONTEXT,"CM4DI-D0001;CM4DI-D0006;CM4DI-D0009;CM4DI-D0010;CM4DI-D0011;CM4DI-D0015",REEXECUTED
CM4DI-CQ0033,CM4DI-D0008,Identity Administration,CM4DI-BC0006,"CM4DI-D0001",REVALIDATED
CM4DI-CQ0034,CM4DI-D0008,Identity Administration,CM4DI-BC0006,"CM4DI-D0002;CM4DI-D0003",REVALIDATED
CM4DI-CQ0035,CM4DI-D0009,Federation,CM4DI-BC0007,"CM4DI-D0006;CM4DI-D0008",REVALIDATED
CM4DI-CQ0036,CM4DI-D0006,Authentication,CM4DI-BC0004,,REVALIDATED
CM4DI-CQ0037,CM4DI-D0007,Authorization,CM4DI-BC0005,,REVALIDATED
CM4DI-CQ0038,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,"CM4DI-D0005;CM4DI-D0001",REVALIDATED
