comparison_id,source_id,source_family,source_title,source_owner,source_version,source_status,canonical_url,doi_or_identifier,evidence_level,materiality,coverage_status,source_locator,identity_paradigms,human_coverage,organization_coverage,device_coverage,workload_coverage,agent_coverage,foundational_grounding,formalism,modularity,identity_subject_semantics,digital_identity_semantics,account_profile_semantics,identifier_semantics,claim_attribute_semantics,evidence_proof_semantics,proofing_binding_semantics,authentication_semantics,session_semantics,authorization_semantics,federation_semantics,provisioning_semantics,credential_wallet_semantics,trust_governance_semantics,government_identity_semantics,privacy_boundary,provenance_boundary,equality_coreference_policy,lifecycle_richness,constraint_richness,reasoning_support,cq_support,evaluation_method,reproducibility,cm4di_overlap,cm4di_gap_revealed,source_gap_addressed_by_cm4di,semantic_conflicts,ddd_impact,formalization_impact,novelty_relevance,notes,last_verified_date
SRC-0001,ONT-COMP-001,direct-competitor-ontology,MFSSIA: Ontology of blockchain-based multi-factor challenge set self-sovereign identity authentication,Kormiltsyn; Iqbal; Dwivedi; Norta; Matulevicius,2026,peer-reviewed/current-record,https://doi.org/10.1016/j.teler.2026.100322,10.1016/j.teler.2026.100322,peer-reviewed-primary,material,existing-summary_needs-fulltext-revalidation,,SSI;blockchain;M2X,,,,,,UFO,ontology; formal conceptual rules,,,,,,,,,,,,,,,,,,,,,,,,,,Authentication; trust; non-human actors; identity verification; UFO grounding,,"CM4DI targets cross-paradigm reference semantics across enterprise, credentials, government, workload/device/agent, authorization and standards/framework mappings with broader formal/evaluation architecture",,,,direct comparator for PUB-003,,2026-08-29
SRC-0002,ONT-COMP-002,direct-competitor-ontology,An Ontology-Based Architecture for Federated Identity Management,Layouni; Pollet,2009,peer-reviewed/current-record,https://doi.org/10.1109/AINA.2009.124,10.1109/AINA.2009.124,peer-reviewed-primary,material,fulltext-locator-found_needs-extraction,,federation,,,,,,none identified in current evidence,OWL,,,,,,,,,,,,,,,,,,,,,,,,,,Federation; IdentityProvider; ServiceProvider; CircleOfTrust; OWL formalization,,"CM4DI is broader, foundationally grounded, DDD/modular, current-standard aligned and evaluated across multiple paradigms; direct historical OWL comparison is required",,,,direct comparator for PUB-003,,2026-08-29
SRC-0003,ONT-COMP-003,direct-competitor-ontology,An Ontology-Based Identity and Access Management Metamodel for Secure Adaptive Enterprise Architecture,Nahar,2021,peer-reviewed/current-record,https://doi.org/hdl:10453/153295,hdl:10453/153295,peer-reviewed-primary,material,existing-summary_needs-fulltext-revalidation,,enterprise IAM,,,,,,ontology-based enterprise architecture approach,ontology/metamodel,,,,,,,,,,,,,,,,,,,,,,,,,,Identity management; access management; security architecture; metamodel,,CM4DI contributes a cross-paradigm identity reference ontology and formal standards/framework/neighbor mappings rather than an enterprise-architecture-specific IAM metamodel,,,,direct comparator for PUB-003,,2026-08-29
SRC-0004,ONT-COMP-004,direct-competitor-ontology,SemID: Combining Semantics with Identity Management,Chowdhury; Gómez; Noll; Crespo,2007,peer-reviewed/current-record,https://doi.org/10.1109/SECUREWARE.2007.4385304,10.1109/SECUREWARE.2007.4385304,peer-reviewed-primary,material,discovered_needs-fulltext-extraction,,enterprise IAM,,,,,,none identified in current evidence,ontology implemented/modelled in Protégé,,,,,,,,,,,,,,,,,,,,,,,,,,Identity management; role/policy/resource access; semantic-web ontology,,"Historical formal IAM ontology focused on corporate access-control semantics; CM4DI separates identity, authorization, federation, credential/government/non-human domains and adds foundational grounding plus current standards/evaluation",,,,direct comparator for PUB-003,,2026-08-29
SRC-0005,ONT-COMP-005,direct-competitor-ontology,Distributed Identity Management for Semantic Entities (semDIM),Schönteich; Kasten; Scherp,2020,peer-reviewed/current-record,https://doi.org/10.1007/978-3-030-76228-5_36,10.1007/978-3-030-76228-5_36,peer-reviewed-primary,material,discovered_needs-fulltext-extraction,,distributed identity; social/professional networks,,,,,,DUL,modular DUL-based OWL ontology patterns; semantic-web architecture,,,,,,,,,,,,,,,,,,,,,,,,,,Distributed identifiers; persons/groups/roles; cross-namespace identity; reasoning; modular semantic architecture,,"Particularly important contrast: semDIM centrally uses owl:sameAs for distributed identity, whereas CM4DI treats account linking/co-reference conservatively and separates IdentitySubject, DigitalIdentity and Account; CM4DI also has broader standards/government/workload/credential/trust scope",,,,direct comparator for PUB-003,,2026-08-29
SRC-0006,ONT-COMP-006,direct-competitor-ontology,Decentralized Semantic Identity,Faísca; Rogado,2016,peer-reviewed/current-record,https://doi.org/10.1145/2993318.2993348,10.1145/2993318.2993348,peer-reviewed-primary,supporting,discovered_needs-fulltext-extraction,,decentralized identity,,,,,,FOAF/WebID semantic stack,Semantic Web identity architecture using WebID/FOAF/JWT/blockchain,,,,,,,,,,,,,,,,,,,,,,,,,,semantic identity representation; claims; authentication; decentralized user control,,Architecture/semantic identity comparator rather than a well-founded cross-paradigm reference ontology; CM4DI remains technology-neutral and separates identity representation from protocol/blockchain mechanisms,,,,direct comparator for PUB-003,,2026-08-29
SRC-0007,NEI-001,neighbor-ontology,gUFO — lightweight OWL implementation of UFO,NEMO / UFO community,current,maintained,https://github.com/nemo-ufes/gufo,,ontology-primary,material,pending,,,,,,,,,OWL 2,,,,,,,,,,,,,,,,,,,,,,,,,,"Kinds/categories, roles, relators, events, situations, participation and foundational projection",,,,,Selective foundational alignment/import after #69 projection decision; do not duplicate foundational semantics,neighbor decision: align/reuse,,2026-08-29
SRC-0008,NEI-002,neighbor-ontology,ONTrust Reference Ontology of Trust,NEMO / ONTrust authors,2026,current research artifact,https://github.com/nemo-ufes/ONTrust,,ontology-primary,material,pending,,,,,,,,,OntoUML; OWL/gUFO,,,,,,,,,,,,,,,,,,,,,,,,,,Trust relation/assessment and related foundational distinctions,,,,,Prefer explicit trust alignment over redefining a complete general trust ontology inside CM4DI,neighbor decision: align/bridge,,2026-08-29
SRC-0009,NEI-003,neighbor-ontology,PROV-O: The PROV Ontology,W3C,2013,Recommendation,https://www.w3.org/TR/prov-o/,,ontology-primary,material,pending,,,,,,,,,OWL 2,,,,,,,,,,,,,,,,,,,,,,,,,,"Evidence/claim/credential provenance, source derivation and attribution",,,,,Reuse/align provenance patterns where they fit; CM4DI retains identity-specific evidence semantics,neighbor decision: reuse/align,,2026-08-29
SRC-0010,NEI-004,neighbor-ontology,The Organization Ontology,W3C,2014,Recommendation,https://www.w3.org/TR/vocab-org/,,ontology-primary,supporting,pending,,,,,,,,,RDF/OWL vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,Party/organization/membership boundaries and governance actors,,,,,Do not recreate generic organizational structure; map only identity-governance roles/participation needed by CM4DI,neighbor decision: align/reference,,2026-08-29
