eudi_source_id,title,version_or_current_state,canonical_url,source_layer,materiality,coverage_state,concept_bearing_areas,cm4di_domains,blocking_gap,last_verified
EUDI-S001,"Regulation (EU) 2024/1183 — European Digital Identity Framework","in force; amends eIDAS 910/2014","https://eur-lex.europa.eu/eli/reg/2024/1183/oj",primary-law,material,existing-summary-needs-exhaustive,"wallet legal framework; user control; PID/EAA; relying parties; certification; trust ecosystem","Government Identity;Trust Governance;Credential Exchange;Identity Assurance","full article-level extraction/reconciliation still required",2026-08-29
EUDI-S002,"Commission Implementing Regulation (EU) 2024/2977 — PID and EAA","in force; changed; current consolidated version 2026-08-11","https://eur-lex.europa.eu/eli/reg_impl/2024/2977/oj/eng",implementing-law,material,substantive-pass-started,"wallet user; wallet unit; wallet solution; PID; EAA; providers; issuance; revocation; cryptographic binding","Government Identity;Credential Management;Credential Exchange;Identity Evidence","annex and full consolidated article coverage pending",2026-08-29
EUDI-S003,"Commission Implementing Regulation (EU) 2024/2979 — Wallet integrity and core functionalities","in force; amended in 2026 lineage","https://eur-lex.europa.eu/eli/reg_impl/2024/2979/oj/eng",implementing-law,material,substantive-pass-started,"wallet unit; wallet instance; wallet provider; wallet unit attestation; WSCA/WSCD; user authentication; disclosure policy; status/revocation","Credential Exchange;Authentication;Identity Evidence;Trust Governance","full consolidated-version and annex coverage pending",2026-08-29
EUDI-S004,"Commission Implementing Regulation (EU) 2024/2980 — ecosystem notifications","in force; amended lineage","https://eur-lex.europa.eu/eli/reg_impl/2024/2980/oj/eng",implementing-law,material,initial-review,"notifications; trusted providers/entities; ecosystem status","Trust Governance;Government Identity","article/annex extraction pending",2026-08-29
EUDI-S005,"Commission Implementing Regulation (EU) 2024/2981 — certification of EUDI Wallets","in force","https://eur-lex.europa.eu/eli/reg_impl/2024/2981/oj/eng",implementing-law,material,substantive-pass-started,"certification; certification scheme; scheme owner; conformity assessment; object of certification; assurance level high; wallet solution/component boundary","Trust Governance;Credential Exchange","annex requirements and exact conformity-role mapping pending",2026-08-29
EUDI-S006,"Commission Implementing Regulation (EU) 2024/2982 — protocols and interfaces","in force; changed; current consolidated version 2026-08-11","https://eur-lex.europa.eu/eli/reg_impl/2024/2982/oj/eng",implementing-law,material,substantive-pass-started,"issuance/presentation interfaces; wallet-relying-party certificates; wallet unit attestation; selective disclosure; user approval; key possession; erasure requests","Credential Exchange;Authentication;Federation;Identity Evidence","annex standards and consolidated amendments pending full extraction",2026-08-29
EUDI-S007,"Commission Implementing Regulation (EU) 2025/848 — Wallet-Relying Party registration","in force; applies from 2026-12-24; amended by 2026 lineage","https://eur-lex.europa.eu/eli/reg_impl/2025/848/oj/eng",implementing-law,material,substantive-pass-started,"wallet-relying party; national register; registrar; intended use; access certificate; registration certificate; entitlement; suspension/cancellation; record retention","Trust Governance;Federation;Credential Exchange;Authorization","current amended/consolidated 2026 text and all annex fields pending",2026-08-29
EUDI-S008,"Commission Implementing Regulation (EU) 2026/1730","2026-07-15 amending act","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1730",amending-law,material,registered-needs-extraction,"amends relying-party registration technical/standards lineage","Trust Governance;Federation;Credential Exchange","exact deltas to 2025/848 pending structured extraction",2026-08-29
EUDI-S009,"Commission Implementing Regulation (EU) 2026/1731","2026-07-15 amending act","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1731",amending-law,material,registered-needs-extraction,"amends PID/EAA, integrity/core, notification, protocols/interfaces standards/specifications","Credential Exchange;Trust Governance;Government Identity;Authentication","exact changed annex/specification references pending structured extraction",2026-08-29
EUDI-S010,"EUDI Wallet Architecture and Reference Framework v3.0.0","Latest release; 2026-07-21; GitHub release published 2026-07-23","https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/releases/tag/v3.0.0",official-architecture,material,substantive-pass-started,"roles; trust model; Relying Party Services; wallet-to-wallet; Trusted Lists; LoTEs; trust anchors; FCAF; high-level requirements","Credential Exchange;Trust Governance;Government Identity;Federation;Authentication","chapter/annex/HLR raw extraction pending",2026-08-29
EUDI-S011,"EUDI Functional Conformance Assessment Framework","current v3-related functional-conformance resource","https://conformance.eudi.dev",official-conformance,material,registered-needs-extraction,"functional test cases for Wallet Solution requirements; conformance evidence","Credential Exchange;Trust Governance;Evaluation","exact test-suite/repository inventory and CQ mapping pending",2026-08-29
EUDI-S012,"EUDI Reference Implementation documentation","current official reference-implementation surface","https://docs.eudi.dev",official-reference-implementation,supporting,registered-needs-extraction,"wallet implementation components and flows","Credential Exchange;Government Identity","component/repository/version mapping pending",2026-08-29
